#歌单名称	歌名	歌手	专辑	原平台	原歌曲ID
pop(QQ)	去年夏天	王大毛	去年夏天	qq	004XePmv4CsaEq
pop(QQ)	勾指起誓	泠鸢yousa	泠鸢yousa的翻唱电台	qq	001N2Ymh2QMeI2
pop(QQ)	你的酒馆对我打了烊	陈雪凝	陈雪凝 - 你的酒馆对我打了烊 (DJ 敏少 ReMix)	qq	000i66vj3lEDc8
pop(QQ)	体面	夏雨菲	体面	qq	003WsWkv3G1Kzs
pop(QQ)	绿色	陈雪凝	绿色	qq	0021rBlZ1gQiLy
pop(QQ)	打上花火	米津玄師	BOOTLEG	qq	001RaE0n4RrGX9
pop(QQ)	云烟成雨	房东的猫	云烟成雨	qq	001yYM0I30CzdP
pop(QQ)	公园	花粥	很多无处存放的歌曲	qq	001nstxq2M3XEd
pop(QQ)	遇见	伦桑	遇见	qq	002bFuAj0upffJ
pop(QQ)	起风了	买辣椒也用券	起风了 (旧版)	qq	0004jPDk2eB2dt
pop(QQ)	继续 Demo	Nacho	Demo杂集	qq	002UvGcO2hpUxU
pop(QQ)	不觉晴光老	江城原创音乐团队	不觉晴光老	qq	001ofo3L1WVdPV
pop(QQ)	有点甜	汪苏泷 / BY2	万有引力	qq	001bdYk41BCfRi
pop(QQ)	爱情转移	陈奕迅	爱情呼叫转移	qq	004ff6bV3wHhjt
pop(QQ)	后会无期	徐良 / 汪苏泷	不良少年	qq	004gZy7l1GYJ1Q
pop(QQ)	可乐	赵紫骅	可乐	qq	000rExbG03qRId
pop(QQ)	牵丝戏	萧玄	古风萧玄2	qq	000akMVE2ji3xj
pop(QQ)	山外小楼夜听雨	任然	从小到大	qq	001hoRPW23jSPU
pop(QQ)	爱呀	金玟岐	金玟岐作品集	qq	000WMMNx0tHnhW
pop(QQ)	采茶纪	双笙 (陈元汐)	原创歌曲合集	qq	004Kxue107QgYM
pop(QQ)	凉凉	于毅 / 娄艺潇	跨界歌王第二季 第7期	qq	003eGWr82qtmTw
pop(QQ)	曾经的你	许巍	每一刻都是崭新的	qq	004XcdPX08dOus
pop(QQ)	终于等到你	张靓颖	第七感	qq	003dIT9t46SLw8
pop(QQ)	我的天空	南征北战NZBZ	青春派 电影原声带	qq	0043WGTm3kacAQ
pop(QQ)	被驯服的象	蔡健雅	天使与魔鬼的对话	qq	004AUBNe2ayqrK
pop(QQ)	最后的旅行	Rainton桐		qq	0017OcfA2YPamM
